date,symbol,eps,epsestimated,time,revenue,revenueestimated,updatedfromdate,fiscaldateending,ticker,time_raw,is_amc,is_bmo
2002-01-18,MMM,0.49,0.49,bmo,3863000000.0,3863000000.0,2025-04-25,2001-12-31,MMM,bmo,False,True
2002-04-22,MMM,0.62,0.59,bmo,3890000000.0,3701774193.0,2025-04-25,2002-03-31,MMM,bmo,False,True
2002-07-22,MMM,0.68,0.67,bmo,4161000000.0,4099808823.0,2025-04-25,2002-06-30,MMM,bmo,False,True
2002-10-21,MMM,0.69,0.69,bmo,4143000000.0,4143000000.0,2025-04-25,2002-09-30,MMM,bmo,False,True
2003-01-21,MMM,0.65,0.64,bmo,4138000000.0,4073343750.0,2025-04-25,2002-12-31,MMM,bmo,False,True
2003-04-21,MMM,0.71,0.7,bmo,4318000000.0,4256314285.0,2025-04-25,2003-03-31,MMM,bmo,False,True
2003-07-21,MMM,0.78,0.75,bmo,4580000000.0,4396800000.0,2025-04-25,2003-06-30,MMM,bmo,False,True
2003-10-20,MMM,0.83,0.79,bmo,4616000000.0,4393542168.0,2025-04-25,2003-09-30,MMM,bmo,False,True
2004-01-20,MMM,0.77,0.76,bmo,4718000000.0,4655921052.0,2025-04-25,2003-12-31,MMM,bmo,False,True
2004-04-19,MMM,0.9,0.87,bmo,4939000000.0,4768689655.0,2025-04-25,2004-03-31,MMM,bmo,False,True
2004-07-19,MMM,0.97,0.96,bmo,5012000000.0,4960329896.0,2025-04-25,2004-06-30,MMM,bmo,False,True
2004-10-18,MMM,0.97,0.98,bmo,4969000000.0,5020226804.0,2025-04-25,2004-09-30,MMM,bmo,False,True
2005-01-18,MMM,0.91,0.91,bmo,5091000000.0,5091000000.0,2025-04-25,2004-12-31,MMM,bmo,False,True
2005-04-18,MMM,1.03,1.01,bmo,5166000000.0,5065689320.0,2025-04-25,2005-03-31,MMM,bmo,False,True
2005-07-18,MMM,1.09,1.09,bmo,5294000000.0,5294000000.0,2025-04-25,2005-06-30,MMM,bmo,False,True
