symbol,date,epsactual,epsestimated,revenueactual,revenueestimated,lastupdated
NFLX,2023-10-18,3.73,3.49,8541668000.0,8541300000.0,2025-04-25
TXN,2023-10-24,1.85,1.82,4532000000.0,4569600000.0,2025-04-25
GOOGL,2023-10-24,1.55,1.45,76693000000.0,75943800000.0,2025-04-25
GOOG,2023-10-24,1.55,1.45,76693000000.0,71557000000.0,2025-07-16
MSFT,2023-10-24,2.99,2.65,56517000000.0,54489000000.0,2025-04-24
TMUS,2023-10-25,1.82,1.74,19252000000.0,18220500000.0,2025-04-25
META,2023-10-25,4.39,3.63,34146000000.0,31647200000.0,2025-04-25
LIN,2023-10-26,3.63,3.57,8155000000.0,8534592069.0,2025-04-25
AMZN,2023-10-26,0.94,0.58,143083000000.0,133393000000.0,2025-04-25
AMD,2023-10-31,0.7,0.68,5800000000.0,5369880000.0,2025-04-25
AAPL,2023-11-02,1.46,1.39,89498000000.0,84175800000.0,2025-07-09
AZN,2023-11-09,0.87,0.85,11492000000.0,11552400573.0,2025-04-25
CSCO,2023-11-15,1.11,1.03,14668000000.0,13785900000.0,2025-04-25
NVDA,2023-11-21,0.4,0.34,18120000000.0,15194600000.0,2025-04-24
INTU,2023-11-28,2.47,1.98,2978000000.0,2877850000.0,2025-04-25
AVGO,2023-12-07,1.11,1.1,9295000000.0,9411040000.0,2025-04-25
COST,2023-12-14,3.58,3.42,57799000000.0,57681100000.0,2025-04-24
TXN,2024-01-23,1.49,1.47,4077000000.0,4118800000.0,2025-04-25
NFLX,2024-01-23,2.11,2.22,8832825000.0,8718570000.0,2025-04-25
TSLA,2024-01-24,0.71,0.75,25167000000.0,25547500000.0,2025-04-25
ASML,2024-01-24,5.64,5.18,7958952781.0,7440656447.0,2025-07-17
TMUS,2024-01-25,1.67,1.9,20478000000.0,19636200000.0,2025-04-25
MSFT,2024-01-30,2.93,2.78,62020000000.0,56239300000.0,2025-04-24
AMD,2024-01-30,0.77,0.77,6168000000.0,5643760000.0,2025-04-25
GOOGL,2024-01-30,1.64,1.59,86310000000.0,85305800000.0,2025-04-25
GOOG,2024-01-30,1.64,1.59,86310000000.0,78685400000.0,2025-07-16
AMZN,2024-02-01,1.0,0.8,169961000000.0,166172000000.0,2025-04-25
META,2024-02-01,5.33,4.96,40111000000.0,39168800000.0,2025-04-25
AAPL,2024-02-01,2.18,2.1,119575000000.0,117986596460.0,2025-07-09
LIN,2024-02-06,3.59,3.49,12733000000.0,8056960174.0,2025-04-25
AZN,2024-02-08,0.73,0.79,12024000000.0,12079306500.0,2025-04-25
CSCO,2024-02-14,0.87,0.839,12791000000.0,12706333712.0,2025-04-25
NVDA,2024-02-21,0.52,0.46,22103000000.0,20238800000.0,2025-04-24
INTU,2024-02-22,2.63,2.3,3386000000.0,3386488777.0,2025-04-25
AVGO,2024-03-07,1.1,10.37,11961000000.0,11794525537.0,2025-04-25
COST,2024-03-07,3.92,3.62,58442000000.0,59110502545.0,2025-04-24
ASML,2024-04-17,3.31,3.0,5682941200.0,5875481349.0,2025-07-17
NFLX,2024-04-18,5.28,4.52,9381681000.0,9276844271.0,2025-04-25
TSLA,2024-04-23,0.45,0.51,21301000000.0,22220029354.0,2025-04-25
TXN,2024-04-23,1.2,1.07,3661000000.0,3613668816.0,2025-04-25
META,2024-04-24,4.71,4.32,36455000000.0,36146676261.0,2025-04-25
MSFT,2024-04-25,2.94,2.82,61858000000.0,60861823613.0,2025-04-24
AZN,2024-04-25,1.03,1.22,12679000000.0,11798078141.0,2025-04-25
GOOGL,2024-04-25,1.89,1.51,80539000000.0,78609200000.0,2025-04-25
TMUS,2024-04-25,2.0,1.87,19594000000.0,19825885180.0,2025-04-25
GOOG,2024-04-25,1.89,1.51,80539000000.0,78732858414.0,2025-07-16
AMZN,2024-04-30,0.98,0.83,143313000000.0,142654161020.0,2025-04-25
AMD,2024-04-30,0.62,0.616,5473000000.0,5476961340.0,2025-04-25
LIN,2024-05-02,3.75,3.68,8100000000.0,8383882095.0,2025-04-25
AAPL,2024-05-02,1.53,1.5,90753000000.0,90366105851.0,2025-07-09
CSCO,2024-05-15,0.88,0.828,12702000000.0,12534414719.0,2025-04-25
NVDA,2024-05-22,0.61,0.56,26044000000.0,24592795107.0,2025-04-24
INTU,2024-05-23,9.88,9.37,6737000000.0,6647681357.0,2025-04-25
COST,2024-05-30,3.78,3.7,58515000000.0,58022711711.0,2025-04-24
